,wd20cd,wd20nm,total_population,mean_age,median_age,country,prediction
3669,E05009418,Olney,11545.0,45.170896491987904,49.0,England,False
3670,E05009419,Shenley Brook End,13705.0,36.126960963152094,38.0,England,False
3671,E05009420,Stantonbury,16163.0,37.652106663367,38.0,England,False
3672,E05009421,Stony Stratford,11661.0,39.1066803876168,39.0,England,False
3673,E05009422,Tattenhoe,12161.0,32.3520269714662,35.0,England,False
3674,E05009423,Wolverton,15680.0,35.3577168367347,35.0,England,False
3675,E05009424,Woughton & Fishermead,18523.0,34.2076337526319,34.0,England,False
3676,E05009425,Abbots Langley & Bedmond,6502.0,43.4137188557367,45.0,England,False
3677,E05009426,Carpenders Park,6954.0,43.1446649410411,43.0,England,False
3678,E05009427,Chorleywood North & Sarratt,6828.0,46.1854130052724,49.0,England,False
3679,E05009428,Chorleywood South & Maple Cross,7914.0,41.2236542835481,43.0,England,False
3680,E05009429,Dickinsons,6520.0,40.614110429447905,42.0,England,False
3681,E05009430,Durrants,7059.0,41.1293384332058,43.0,England,False
3682,E05009431,Gade Valley,6947.0,38.1782064200374,38.0,England,False
3683,E05009432,Leavesden,8341.0,37.2336650281741,38.0,England,False
3684,E05009433,Moor Park & Eastbury,6420.0,43.3694704049844,44.0,England,False
3685,E05009434,Oxhey Hall & Hayling,7401.0,37.9945953249561,38.0,England,False
3686,E05009435,Penn & Mill End,7050.0,38.3982978723404,39.0,England,False
3687,E05009436,Rickmansworth Town,7570.0,42.9163804491414,44.0,England,False
3688,E05009437,South Oxhey,7817.0,36.27209927082,36.0,England,False
3689,E05009438,Arrow,3789.0,47.6761678543151,52.0,England,False
3690,E05009439,Aylestone Hill,3819.0,43.274155538099,45.0,England,False
3691,E05009440,Backbury,3270.0,46.1847094801223,49.0,England,False
3692,E05009441,Belmont Rural,3902.0,39.7790876473603,39.0,England,False
3693,E05009442,Birch,3334.0,46.2726454709058,50.0,England,False
3694,E05009443,Bircher,3984.0,48.2547690763052,53.0,England,False
3695,E05009444,Bishops Frome & Cradley,3174.0,47.8090737240076,53.0,England,False
3696,E05009445,Bobblestock,3615.0,42.3560165975104,42.0,England,False
3697,E05009446,Bromyard Bringsty,3480.0,49.3563218390805,54.0,England,False
3698,E05009447,Bromyard West,3344.0,43.9844497607656,46.0,England,False
3699,E05009448,Castle,3371.0,49.3794126371996,55.0,England,False
3700,E05009449,Central,3190.0,40.3670846394984,38.0,England,False
3701,E05009450,College,3842.0,39.9151483602291,39.0,England,False
3702,E05009452,Dinedor Hill,3845.0,42.495188556567,44.0,England,False
3703,E05009453,Eign Hill,3354.0,45.5805008944544,47.0,England,False
3704,E05009454,Golden Valley North,3159.0,46.5245330800886,51.0,England,False
3705,E05009455,Golden Valley South,3386.0,46.986414648552895,51.0,England,False
3706,E05009456,Greyfriars,3974.0,40.5115752390539,38.0,England,False
3707,E05009457,Hagley,4019.0,42.8992286638467,46.0,England,False
3708,E05009458,Hampton,3495.0,48.710443490701,54.0,England,False
3709,E05009459,Hinton & Hunderton,4784.0,38.6642976588629,38.0,England,False
3710,E05009460,Holmer,3758.0,42.859499733901,43.0,England,False
3711,E05009461,Hope End,3630.0,49.7826446280992,54.0,England,False
3712,E05009462,Kerne Bridge,3260.0,48.8196319018405,53.0,England,False
3713,E05009463,Kings Acre,3358.0,43.135199523525905,44.0,England,False
3714,E05009464,Kington,3277.0,46.1684467500763,50.0,England,False
3715,E05009465,Ledbury North,2537.0,50.7067402443831,54.0,England,False
3716,E05009466,Ledbury South,3690.0,48.5910569105691,52.0,England,False
3717,E05009467,Ledbury West,4338.0,42.618948824343,44.0,England,False
3718,E05009468,Leominster East,4396.0,45.2882165605096,46.0,England,False
3719,E05009469,Leominster North & Rural,3993.0,43.0200350613574,46.0,England,False
3720,E05009470,Leominster South,3143.0,43.4187082405345,46.0,England,False
3721,E05009471,Leominster West,3009.0,46.005649717514096,48.0,England,False
3722,E05009472,Llangarron,3522.0,48.1413969335605,53.0,England,False
3723,E05009473,Mortimer,3491.0,46.4861071326268,51.0,England,False
3724,E05009474,Newton Farm,4686.0,34.7300469483568,33.0,England,False
3725,E05009475,Old Gore,3201.0,48.2393002186817,52.0,England,False
3726,E05009476,Penyard,3498.0,48.6469411092053,53.0,England,False
3727,E05009478,Red Hill,4203.0,39.8125148703307,39.0,England,False
3728,E05009479,Ross East,3773.0,46.953882851842,49.0,England,False
3729,E05009480,Ross North,3862.0,43.6910926980839,45.0,England,False
3730,E05009481,Ross West,3674.0,46.5996189439303,49.0,England,False
3731,E05009482,Saxon Gate,4420.0,35.4780542986425,33.0,England,False
3732,E05009485,Three Crosses,3551.0,46.7966769923965,51.0,England,False
3733,E05009486,Tupsley,3509.0,46.6717013394129,50.0,England,False
3734,E05009487,Weobley,3688.0,47.7586767895879,52.0,England,False
3735,E05009488,Whitecross,3934.0,41.4992374173869,40.5,England,False
3736,E05009489,Widemarsh,3589.0,38.8762886597938,36.0,England,False
3737,E05009490,Wormside,3505.0,44.9728958630528,49.0,England,False
3738,E05009491,Bassenhally,5057.0,42.292861380265,44.0,England,False
3739,E05009492,"Benwick, Coates & Eastrea",4577.0,42.2484159930085,45.0,England,False
3740,E05009493,Birch,2391.0,44.1505646173149,46.0,England,False
3741,E05009494,Clarkson,2810.0,38.308896797153,37.0,England,False
3742,E05009495,Doddington & Wimblington,4654.0,45.8100558659218,50.0,England,False
3743,E05009496,Elm & Christchurch,4913.0,44.4738449012823,47.0,England,False
3744,E05009497,Kirkgate,2455.0,43.0460285132383,43.0,England,False
3745,E05009498,Lattersey,2705.0,45.8536044362292,49.0,England,False
3746,E05009499,Manea,2547.0,42.4393404004711,46.0,England,False
3747,E05009500,March East,7819.0,44.0448906509784,46.0,England,False
3748,E05009501,March North,7756.0,41.4238009283136,41.0,England,False
3749,E05009502,March West,7481.0,45.8659270151049,49.0,England,False
3750,E05009503,Medworth,3137.0,42.9336946126873,41.0,England,False
3751,E05009504,Octavia Hill,6092.0,41.505252790545,40.0,England,False
3752,E05009505,Parson Drove & Wisbech St Mary,5401.0,43.3290131457138,47.0,England,False
3753,E05009506,Peckover,2652.0,43.1557315233786,45.0,England,False
3754,E05009507,Roman Bank,6664.0,47.0657262905162,52.0,England,False
3755,E05009508,St Andrews,2903.0,46.822941784361,50.0,England,False
3756,E05009509,Slade Lode,2930.0,37.2924914675768,37.0,England,False
3757,E05009510,Staithe,2474.0,41.6406628940986,44.0,England,False
3758,E05009511,Stonald,2664.0,40.9485735735736,41.0,England,False
3759,E05009512,The Mills,2666.0,42.637659414853694,43.0,England,False
3760,E05009513,Waterlees Village,6111.0,37.9417443953526,36.0,England,False
3761,E05009514,Wenneye,2991.0,43.7144767636242,46.0,England,False
3762,E05009544,Abbey,5357.0,42.803994773194,43.0,England,False
3763,E05009545,"Bobbing, Iwade and Lower Halstow",6204.0,37.3600902643456,38.0,England,False
3764,E05009546,Borden and Grove Park,6482.0,43.1542733724159,45.0,England,False
3765,E05009547,Boughton and Courtenay,6619.0,44.0675328599486,46.0,England,False
3766,E05009548,Chalkwell,3266.0,37.0612369871402,35.0,England,False
3767,E05009549,East Downs,2673.0,46.704451926674096,51.0,England,False
3768,E05009550,"Hartlip, Newington and Upchurch",6133.0,43.8796673732268,47.0,England,False
3769,E05009551,Homewood,6418.0,40.5967591149891,40.0,England,False
3770,E05009552,Kemsley,7112.0,35.72272215973,35.0,England,False
3771,E05009553,Milton Regis,6373.0,39.2333281029343,38.0,England,False
3772,E05009554,Minster Cliffs,7708.0,46.9033471717696,51.0,England,False
3773,E05009555,Murston,7021.0,35.3170488534397,34.0,England,False
3774,E05009556,Priory,2859.0,42.0528156698146,43.0,England,False
3775,E05009557,Queenborough and Halfway,8105.0,41.155336212214706,42.0,England,False
3776,E05009558,Roman,6762.0,39.5103519668737,38.0,England,False
3777,E05009559,St Ann's,5681.0,43.0690019362788,46.0,England,False
3778,E05009560,Sheerness,13418.0,35.2448949172753,33.0,England,False
3779,E05009561,Sheppey Central,8997.0,39.0032232966544,39.0,England,False
3780,E05009562,Sheppey East,7336.0,44.1712104689204,46.0,England,False
3781,E05009563,Teynham and Lynsted,6265.0,40.3465283320032,40.0,England,False
3782,E05009564,The Meads,4141.0,31.9642598406182,32.0,England,False
3783,E05009565,Watling,6208.0,41.2806056701031,42.0,England,False
3784,E05009566,West Downs,2810.0,45.3281138790036,50.0,England,False
3785,E05009567,Woodstock,6134.0,44.9982067166612,47.0,England,False
3786,E05009568,Aylesford North and Walderslade,6345.0,42.3826635145784,44.0,England,False
3787,E05009569,Aylesford South,5086.0,41.5766810853323,43.0,England,False
3788,E05009570,Borough Green and Long Mill,7820.0,42.0921994884911,44.0,England,False
3789,E05009571,Burham and Wouldham,3098.0,40.4512588766946,41.0,England,False
3790,E05009572,Cage Green,4656.0,44.6063144329897,47.0,England,False
3791,E05009573,Castle,5037.0,40.0325590629343,40.0,England,False
3792,E05009574,Ditton,5272.0,41.482738998482496,42.0,England,False
3793,E05009575,Downs and Mereworth,4718.0,44.622721492157694,48.0,England,False
3794,E05009577,Hadlow and East Peckham,7272.0,43.7867161716172,47.0,England,False
3795,E05009578,Higham,4763.0,44.4858282595003,48.0,England,False
3796,E05009579,Hildenborough,5214.0,42.162830840046,45.0,England,False
3797,E05009580,Judd,5533.0,38.4670160853063,38.0,England,False
3798,E05009582,Larkfield North,5136.0,38.47760903426791,38.0,England,False
3799,E05009583,Larkfield South,4065.0,43.1485854858549,45.0,England,False
3800,E05009584,Medway,7251.0,38.7538270583368,37.0,England,False
3801,E05009585,Snodland East and Ham Hill,5392.0,37.2902448071217,37.0,England,False
3802,E05009586,Snodland West and Holborough Lakes,6481.0,39.3135318623669,38.0,England,False
3803,E05009587,Trench,5010.0,40.2908183632735,41.0,England,False
3804,E05009588,Vauxhall,5300.0,38.1428301886793,38.0,England,False
3805,E05009589,Wateringbury,2069.0,43.3537941034316,47.0,England,False
3806,E05009590,West Malling and Leybourne,6854.0,41.338488473883906,42.0,England,False
3807,E05009591,"Wrotham, Ightham and Stansted",4669.0,42.776397515528,47.0,England,False
3808,E05009592,Bare,6889.0,48.6092321091595,53.0,England,False
3809,E05009593,Bolton & Slyne,7140.0,48.8913165266106,53.5,England,False
3810,E05009594,Bulk,9162.0,35.3289674743506,31.0,England,False
3811,E05009595,Carnforth & Millhead,6065.0,43.6341302555647,46.0,England,False
3812,E05009596,Castle,5917.0,34.0099712692243,26.0,England,False
3813,E05009597,Ellel,4126.0,42.3601551139118,45.0,England,False
3814,E05009598,Halton-with-Aughton,2572.0,43.5007776049767,46.0,England,False
3815,E05009599,Harbour,7947.0,39.1854787970303,39.0,England,False
3816,E05009600,Heysham Central,4756.0,43.7565180824222,46.0,England,False
3817,E05009601,Heysham North,5050.0,39.440198019802,39.0,England,False
3818,E05009602,Heysham South,6980.0,38.1091690544413,37.0,England,False
3819,E05009603,John O'Gaunt,7892.0,35.1188545362392,28.0,England,False
3820,E05009604,Kellet,2221.0,47.8180999549752,52.0,England,False
3821,E05009605,Lower Lune Valley,4617.0,46.125839289582,50.0,England,False
3822,E05009606,Marsh,5941.0,38.2841272513045,36.0,England,False
3823,E05009607,Overton,2565.0,46.3321637426901,51.0,England,False
3824,E05009608,Poulton,5631.0,40.8307583022554,39.0,England,False
3825,E05009609,Scotforth East,4346.0,43.1155085135757,44.0,England,False
3826,E05009610,Scotforth West,7581.0,37.585015169502704,33.0,England,False
3827,E05009611,Silverdale,1849.0,53.5170362358031,60.0,England,False
3828,E05009612,Skerton East,6853.0,37.3732671822559,35.0,England,False
3829,E05009613,Skerton West,6971.0,39.050638358915506,39.0,England,False
3830,E05009614,Torrisholme,4502.0,48.8876055086628,53.0,England,False
3831,E05009615,University & Scotforth Rural,6383.0,23.3941720194266,20.0,England,False
3832,E05009616,Upper Lune Valley,2576.0,47.3777173913044,53.0,England,False
3833,E05009617,Warton,1972.0,49.5380324543611,54.0,England,False
3834,E05009618,Westgate,7534.0,41.7987788691266,42.0,England,False
3835,E05009619,Forest,7888.0,40.7827079107505,40.0,England,False
3836,E05009620,Winstanley,7462.0,36.6841329402305,36.0,England,False
3837,E05009621,Coastal,3850.0,48.4574025974026,53.0,England,False
3838,E05009622,Fenside,5087.0,35.7118144289365,34.0,England,False
3839,E05009623,Fishtoft,7040.0,43.3735795454546,45.0,England,False
3840,E05009624,Five Village,3926.0,45.4424350483953,49.0,England,False
3841,E05009625,Kirton and Frampton,7210.0,42.5665742024965,44.0,England,False
3842,E05009626,Old Leake and Wrangle,3618.0,46.0386954118297,50.0,England,False
3843,E05009627,St Thomas',2956.0,39.5023680649526,38.0,England,False
3844,E05009628,Skirbeck,8462.0,37.804065232805506,36.0,England,False
3845,E05009629,Staniland,4198.0,43.5924249642687,44.0,England,False
3846,E05009630,Station,3291.0,34.3886356730477,33.0,England,False
3847,E05009631,Swineshead and Holland Fen,3884.0,44.5973223480948,48.0,England,False
3848,E05009632,Trinity,5250.0,40.7394285714286,40.0,England,False
3849,E05009633,West,2094.0,43.9116523400191,45.0,England,False
3850,E05009634,Witham,4938.0,39.7371405427299,38.0,England,False
3851,E05009635,Wyberton,4369.0,40.8251316090639,41.0,England,False
3852,E05009636,Bardney,2747.0,44.1758281761922,47.0,England,False
3853,E05009637,Caistor and Yarborough,5466.0,46.6825832418588,51.0,England,False
3854,E05009638,Cherry Willingham,7719.0,46.3436973701257,49.0,England,False
3855,E05009639,Dunholme and Welton,8602.0,43.4880260404557,47.0,England,False
3856,E05009640,Gainsborough East,7856.0,37.5067464358452,36.0,England,False
3857,E05009641,Gainsborough North,7536.0,39.0912951167728,38.0,England,False
3858,E05009642,Gainsborough South-West,5539.0,40.2045495576819,39.0,England,False
3859,E05009643,Hemswell,2837.0,44.0694395488192,47.0,England,False
3860,E05009644,Kelsey Wold,2754.0,46.0058097312999,51.0,England,False
3861,E05009645,Lea,2097.0,50.4763948497854,55.0,England,False
3862,E05009646,Market Rasen,8984.0,45.798196794301,49.0,England,False
3863,E05009647,Nettleham,4203.0,48.0780394955984,52.0,England,False
3864,E05009648,Saxilby,5549.0,47.8477203099658,52.0,England,False
3865,E05009649,Scampton,2922.0,38.9490075290897,39.0,England,False
3866,E05009650,Scotter and Blyton,7744.0,46.870867768595,51.0,England,False
3867,E05009651,Stow,2353.0,46.3293667658309,51.0,England,False
3868,E05009652,Sudbrooke,2735.0,46.3985374771481,50.0,England,False
3869,E05009653,Torksey,2954.0,52.2511848341232,57.0,England,False
3870,E05009654,Waddingham and Spital,2525.0,46.7861386138614,52.0,England,False
3871,E05009655,Wold View,2545.0,45.8907662082515,51.0,England,False
3872,E05009664,Embsay-with-Eastby,2044.0,45.4070450097847,48.0,England,False
3873,E05009665,Gargrave and Malhamdale,3111.0,49.8174220507875,54.0,England,False
3874,E05009666,Glusburn,4207.0,45.1140955550273,47.0,England,False
3875,E05009667,Skipton East,3459.0,47.2434229546112,51.0,England,False
